program,cohort,pacing,past_cohorts,ed_coach_used,ed_coach_available,learn_url
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,"Past Cohorts:
            v-000 - left on 2018-09-20 
",2,2,http://learn.co/deannalinn
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-041519,Pacing: Part Time,"Past Cohorts:
            online-web-pt-021119 - left on 2019-11-20 
online-web-pt-011419 - left on 2019-09-07 
online-web-pt-011419 - left on 2019-05-01 
",1,1,http://learn.co/a-glazer
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/akizzles
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-100719,Pacing: Part Time,"Past Cohorts:
            online-web-sp-000 - left on 2019-10-05 
",1,1,http://learn.co/osrsnub
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,1,1,http://learn.co/aaronc1546
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,3,3,http://learn.co/afeinberg22
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/aamax67
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-041519,Pacing: Part Time,,4,4,http://learn.co/aparkening
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-012120,Pacing: Part Time,"Past Cohorts:
            online-web-pt-071519 - left on 2019-12-07 
",0,0,http://learn.co/codingsensei19
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,3,3,http://learn.co/abogailo
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/abadi230
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,0,0,http://learn.co/asafi1997
Program: UX Design,Cohort: online-ux-pt-081919,Pacing: Part Time,,0,0,http://learn.co/9f65ecf4-83f1-4bdf-80a9-945cd9c360be
