dates,lesson
"Monday, Jan 7th",Applying Gradient Descent Lab
"Monday, Jan 7th",Applying Gradient Descent
"Monday, Jan 7th",Gradient To Cost Function
"Thursday, Jan 3rd",Derivative Chain Rule
"Thursday, Jan 3rd",Gradient in Gradient Descent
"Thursday, Dec 27th 2018",Partial Derivatives Lab
"Sunday, Dec 23rd 2018",Partial Derivatives Gradient Descent
"Thursday, Dec 20th 2018",Multivariable Functions
"Thursday, Dec 20th 2018",Derivative Rules Lab
"Thursday, Dec 20th 2018",Derivative Rules
"Thursday, Dec 20th 2018",Nonlinear Derivatives Readme
"Thursday, Dec 20th 2018",Introduction To Derivatives Lab
"Thursday, Dec 20th 2018",Introduction To Derivatives
"Thursday, Dec 20th 2018",Expressing Functions
"Thursday, Dec 20th 2018",Why Math
"Thursday, Dec 20th 2018",Gradient Descent Step Sizes Lab
"Wednesday, Dec 19th 2018",Gradient Descent Step Sizes
"Wednesday, Dec 12th 2018",Gradient Descent
"Wednesday, Dec 12th 2018",Evaluating Regression Lines Lab
"Monday, Dec 3rd 2018",Evaluating Regression Lines
"Friday, Nov 30th 2018",Sigma Notation
"Friday, Nov 30th 2018",Single Variable Regression Lab
"Sunday, Nov 25th 2018",Calculating Lines
"Sunday, Nov 25th 2018",Single Variable Regression
"Wednesday, Nov 21st 2018",Plotly Lab
"Tuesday, Nov 20th 2018",Plotly Basics
"Sunday, Nov 11th 2018",Nearest Neighbors Lab
"Saturday, Nov 10th 2018",Applying Nearest Neighbors
"Saturday, Nov 10th 2018",Calculating Distance Lab
"Thursday, Nov 8th 2018",Nearest Neighbors Readme
"Monday, Nov 5th 2018",Calculating Distance
"Monday, Nov 5th 2018",Visualizing In Python
"Monday, Nov 5th 2018",Filter Lab Python
"Monday, Nov 5th 2018",Map Readme
"Sunday, Nov 4th 2018",Filter Readme
"Sunday, Nov 4th 2018",Conditionals Python Lab
"Sunday, Nov 4th 2018",Conditionals Python Readme
"Sunday, Nov 4th 2018",Function Arguments Lab
"Saturday, Nov 3rd 2018",Function Arguments Readme
"Saturday, Nov 3rd 2018",Python Scope Readme
"Saturday, Nov 3rd 2018",Introduction To Functions Lab
"Saturday, Nov 3rd 2018",Defining Functions Readme
"Saturday, Nov 3rd 2018",For Loops Lab
"Saturday, Nov 3rd 2018",For Loops Readme
"Friday, Nov 2nd 2018",Plotting Data Lab
"Friday, Nov 2nd 2018",Plotting Data Readme
"Friday, Nov 2nd 2018",Python Dictionaries Lab
"Thursday, Nov 1st 2018",Excel To Python
"Thursday, Nov 1st 2018",Python Dictionaries Readme
"Thursday, Nov 1st 2018",Congratulations!
"Thursday, Nov 1st 2018",Lists With Maps
"Thursday, Nov 1st 2018",Python Lists Lab
"Thursday, Nov 1st 2018",Python Lists Readme
"Thursday, Nov 1st 2018",Jupyter Notebook Introduction
"Thursday, Nov 1st 2018",Python Variables Lab
"Thursday, Nov 1st 2018",Python Variables Readme
"Thursday, Nov 1st 2018",Python Practice With Datatypes
"Wednesday, Oct 31st 2018",Python Numbers And Booleans
"Wednesday, Oct 31st 2018",Python Intro To Strings
"Wednesday, Oct 31st 2018",Instant Data Science
"Wednesday, Oct 31st 2018",Introduction To Data Science
