dates,lesson
"Sunday, Jul 21st",Single Variable Regression Lab
"Sunday, Jul 21st",Calculating Lines
"Sunday, Jul 21st",Single Variable Regression
"Sunday, Jul 21st",Plotly Lab
"Saturday, Jul 20th",Plotly Basics
"Saturday, Jul 20th",Nearest Neighbors Lab
"Saturday, Jul 20th",Applying Nearest Neighbors
"Saturday, May 11th",History of JavaScript
"Tuesday, May 7th",JS And The Web
"Sunday, May 5th",What You'll Learn 
"Friday, May 3rd",Nearest Neighbors Readme
"Friday, May 3rd",Calculating Distance Lab
"Wednesday, May 1st",Calculating Distance
"Wednesday, May 1st",Visualizing In Python
"Wednesday, May 1st",Filter Lab Python
"Tuesday, Apr 30th",Map Readme
"Tuesday, Apr 30th",Filter Readme
"Tuesday, Apr 30th",Conditionals Python Lab
"Tuesday, Apr 30th",Conditionals Python Readme
"Monday, Apr 29th",Function Arguments Lab
"Monday, Apr 29th",Function Arguments Readme
"Monday, Apr 29th",Python Scope Readme
"Monday, Apr 29th",Introduction To Functions Lab
"Monday, Apr 29th",Defining Functions Readme
"Monday, Apr 29th",For Loops Lab
"Sunday, Apr 28th",For Loops Readme
"Saturday, Apr 27th",Plotting Data Lab
"Saturday, Apr 27th",Plotting Data Readme
"Saturday, Apr 27th",Python Dictionaries Lab
"Saturday, Apr 27th",Excel To Python
"Saturday, Apr 27th",Python Dictionaries Readme
"Friday, Apr 26th",Congratulations!
"Friday, Apr 26th",Lists With Maps
"Friday, Apr 26th",Python Lists Lab
"Friday, Apr 26th",Python Lists Readme
"Friday, Apr 26th",Jupyter Notebook Introduction
"Friday, Apr 26th",Python Variables Lab
"Friday, Apr 26th",Python Variables Readme
"Friday, Apr 26th",Python Practice With Datatypes
"Friday, Apr 26th",Python Numbers And Booleans
"Thursday, Apr 25th",Python Intro To Strings
"Thursday, Apr 25th",Instant Data Science
"Thursday, Apr 25th",Introduction To Data Science
"Thursday, Apr 25th",CSS Selectors
"Thursday, Apr 25th",CSS Basics
"Thursday, Apr 25th",Styling With CSS Intro
"Thursday, Apr 25th",Understanding Links in HTML
"Thursday, Apr 25th",Using Images in HTML
"Thursday, Apr 25th",Basics of HTML
"Thursday, Apr 25th",The Web is Made of HTML
"Thursday, Apr 25th",Welcome to Bootcamp Prep
