dates,lesson
"Sunday, Sep 9th 2018",Sql Aggregate Functions Readme Skills
"Sunday, Aug 26th 2018",Sql More Queries Lab Skills
"Sunday, Aug 26th 2018",Sql Selecting Data Lab Skills
"Sunday, Aug 26th 2018",Sql Basic Operations Lab Skills
"Monday, Aug 20th 2018",Introduction to Decision trees
"Monday, Aug 20th 2018",Multiple Regression in Python
"Wednesday, Aug 15th 2018",Covariance and Correlation
"Monday, Aug 13th 2018",The Normal Distribution + Zscores
"Sunday, Jul 15th 2018",Function Arguments Lab
"Sunday, Jul 15th 2018",Function Arguments Readme
"Friday, Jul 13th 2018",Map Filter Lab Python
"Friday, Jul 13th 2018",Map Readme Python
"Wednesday, Jul 11th 2018",Filter Readme Python
"Wednesday, Jul 11th 2018",Conditionals Python Lab
"Wednesday, Jul 11th 2018",Conditionals Python Readme
"Monday, Jul 9th 2018",Introduction To Functions Lab
"Monday, Jul 9th 2018",Python Scope Readme
"Monday, Jul 9th 2018",Python Defining Functions Readme
"Sunday, Jul 8th 2018",For Loops Lab
"Wednesday, Jul 4th 2018",For Loops Readme
"Tuesday, Jul 3rd 2018",Visualizing In Python
"Tuesday, Jul 3rd 2018",Plotting Data Lab
"Tuesday, Jul 3rd 2018",Plotting Data Readme
"Sunday, Jul 1st 2018",Excel To Python
"Sunday, Jul 1st 2018",Python Dictionaries Lab
"Friday, Jun 29th 2018",Python Lists With Maps
"Wednesday, Jun 27th 2018",Python Dictionaries Readme
"Wednesday, Jun 27th 2018",Python Lists Lab
"Wednesday, Jun 27th 2018",Python Lists Readme
"Tuesday, Jun 26th 2018",Python Variables Lab
"Tuesday, Jun 26th 2018",Python Variables Readme
"Tuesday, Jun 26th 2018",Python Practice With Datatypes
"Tuesday, Jun 26th 2018",Python Numbers And Booleans
"Tuesday, Jun 26th 2018",Python Skills Welcome Readme
"Sunday, Jun 24th 2018",Python Intro To Strings
"Saturday, Jun 23rd 2018",Instant Data Science
"Wednesday, Jun 20th 2018",Introduction To Data Science
