dates,lesson
"Tuesday, Sep 24th",Instant Data Science
"Tuesday, Sep 24th",Introduction To Data Science
"Saturday, Sep 21st",Design Thinking
"Sunday, Sep 15th",Why is design important?
"Friday, Sep 13th",What is design?
"Friday, Sep 13th",Introduction
"Friday, Sep 13th",Introduction To The DOM
"Friday, Sep 13th",History of JavaScript
"Friday, Sep 13th",JS And The Web
"Friday, Sep 13th",What You'll Learn 
"Saturday, Sep 7th",CSS Selectors
"Saturday, Sep 7th",CSS Basics
"Saturday, Sep 7th",Styling With CSS Intro
"Saturday, Sep 7th",Understanding Links in HTML
"Saturday, Sep 7th",Using Images in HTML
"Saturday, Sep 7th",Basics of HTML
"Saturday, Sep 7th",The Web is Made of HTML
"Saturday, Sep 7th",Welcome to Bootcamp Prep
