dates,lesson
"Friday, May 17th",Building an Object Oriented Simulation - Lab
"Friday, May 17th",Inheritance - Lab
"Friday, Apr 5th",Introduction To Sets - Lab
"Monday, Apr 1st",Getting Started With NumPy - Lab
"Saturday, Mar 9th",Building an Object Oriented Simulation
"Saturday, Mar 2nd",Object Oriented Shopping Cart - Lab
"Monday, Feb 25th",Object Oriented Attributes with Functions - Lab
"Sunday, Feb 24th",Object Initialization - Lab
"Sunday, Feb 24th",Object Attributes - Lab
"Sunday, Feb 24th",Instance Methods - Lab
"Sunday, Feb 24th",Classes and Instances - Lab
"Sunday, Feb 24th",Project - Data Cleaning
"Sunday, Feb 24th",Customizing Visualizations with Matplotlib - Lab
"Sunday, Feb 24th",Understanding Pandas Series and DataFrames - Lab
"Saturday, Feb 23rd",Matrix Multiplication - Code Along
"Saturday, Feb 23rd",Vector Addition and Broadcasting in NumPy - Code Along
"Friday, Feb 22nd",Introduction to Time Series 
"Friday, Feb 22nd",Introduction
"Saturday, Feb 16th",Introducing Python Libraries
"Monday, Feb 11th",Systems of Linear Equations
"Monday, Feb 11th",Motivation for Linear Algebra in Data Science 
"Monday, Feb 11th",Introduction
"Monday, Feb 11th",Section Recap
"Monday, Feb 11th",Holdout Validation
"Monday, Feb 11th",Modeling our Data
"Monday, Feb 11th",Exploring our Data
"Monday, Feb 11th",Scrubbing our Data - Lab
"Monday, Feb 11th",Scrubbing our Data
"Monday, Feb 11th",Obtaining our Data
"Monday, Feb 11th",Data Science Processes
"Monday, Feb 11th",Introduction
"Monday, Feb 11th",Section Recap
"Wednesday, Feb 6th",Introduction to Cross Validation
"Wednesday, Feb 6th",Regression Model Validation
"Wednesday, Feb 6th",Model Fit in Linear Regression 
"Wednesday, Feb 6th",Multiple Linear Regression in Statsmodels
"Wednesday, Feb 6th",Feature Scaling and Normalization
"Wednesday, Feb 6th",Multicollinearity of Features
"Wednesday, Feb 6th",Dealing with Categorical Variables - Lab
"Tuesday, Feb 5th",Multiple Linear Regression
"Tuesday, Feb 5th",Introduction
"Tuesday, Feb 5th",Section Recap
"Tuesday, Feb 5th",Interpreting Significance and P-value
"Tuesday, Feb 5th",Regression Diagnostics in Statsmodels
"Monday, Feb 4th",Ordinary Least Squares in Statsmodels
"Monday, Feb 4th",Assumptions for Linear Regression
"Monday, Feb 4th",Coefficient of Determination
"Friday, Feb 1st",Statistical Learning Theory 
"Friday, Feb 1st",Covariance and Correlation
"Friday, Feb 1st",Introduction
"Friday, Feb 1st",Section Recap
"Friday, Feb 1st",One-Sample z-test
"Friday, Feb 1st",Statistical Testing with z-score and p-value
"Friday, Feb 1st",Skewness and Kurtosis
"Friday, Feb 1st", Standard Normal Distribution
"Friday, Feb 1st",Normal/Gaussian Distribution
"Thursday, Jan 31st",The Probability Density Function
"Thursday, Jan 31st",The Cumulative Distribution Function
"Thursday, Jan 31st",The Probability Mass Function
"Thursday, Jan 31st",Statistical Distribution with Stem and Leaf Plots
"Thursday, Jan 31st",Statistical Distributions and Their Use Cases
"Thursday, Jan 31st",Introduction
"Thursday, Jan 31st",Section Recap
"Thursday, Jan 31st",Bernoulli And Binomial Distribution
"Thursday, Jan 31st",Combinations
"Thursday, Jan 31st",Permutations And Factorials
"Thursday, Jan 31st",Introduction To Probability
"Thursday, Jan 31st",Introduction To Sets
"Thursday, Jan 31st",Introduction To Combinatorics
"Thursday, Jan 31st",Getting Started With NumPy
"Thursday, Jan 31st",Introduction to NumPy
"Thursday, Jan 31st",Introduction
"Thursday, Jan 31st",Section Recap
"Thursday, Jan 31st",Inheritance
