dates,lesson
"Sunday, Sep 23rd 2018",Jupyter Notebook Introduction
"Sunday, Sep 23rd 2018",Python Variables Lab
"Sunday, Sep 23rd 2018",Python Variables Readme
"Thursday, Sep 6th 2018",CSS Basics
"Thursday, Sep 6th 2018",Styling With CSS Intro
"Thursday, Sep 6th 2018",Understanding Links in HTML
"Thursday, Sep 6th 2018",Using Images in HTML
"Thursday, Sep 6th 2018",Basics of HTML
"Thursday, Sep 6th 2018",The Web is Made of HTML
"Thursday, Sep 6th 2018",Welcome to Bootcamp Prep
"Wednesday, Sep 5th 2018",Python Practice With Datatypes
"Wednesday, Sep 5th 2018",Python Numbers And Booleans
"Wednesday, Sep 5th 2018",Python Intro To Strings
"Wednesday, Sep 5th 2018",Instant Data Science
"Wednesday, Sep 5th 2018",Introduction To Data Science
