dates,lesson
"Saturday, Aug 24th",Data Privacy and Ethics
"Saturday, Aug 24th",Pickle
"Monday, Feb 11th",Obtaining Your Data - Lab
"Monday, Feb 11th",Obtaining Your Data
"Thursday, Dec 27th 2018",Data Science Processes
"Thursday, Dec 27th 2018",Introduction
"Thursday, Dec 27th 2018",Section Recap
"Thursday, Dec 27th 2018",Introduction to Cross Validation - Lab
"Wednesday, Dec 26th 2018",Introduction to Cross Validation
"Wednesday, Dec 26th 2018",Regression Model Validation - Lab
"Wednesday, Dec 26th 2018",Regression Model Validation
"Wednesday, Dec 26th 2018",Model Fit in Linear Regression - Lab
"Saturday, Dec 15th 2018",Model Fit in Linear Regression
"Saturday, Dec 15th 2018",Multiple Linear Regression in Statsmodels - Lab
"Thursday, Dec 13th 2018",Feature Scaling and Normalization - Lab
"Thursday, Dec 13th 2018",Feature Scaling and Normalization
"Thursday, Dec 13th 2018",Multicollinearity of Features - Lab
"Thursday, Dec 13th 2018",Multicollinearity of Features
"Thursday, Dec 13th 2018",Dealing with Categorical Variables - Lab
"Wednesday, Dec 12th 2018",Dealing with Categorical Variables
"Tuesday, Dec 11th 2018",Multiple Linear Regression
"Tuesday, Dec 11th 2018",Regression Introduction
"Tuesday, Dec 11th 2018",Section Recap
"Tuesday, Dec 11th 2018",Project: Regression Modeling with the Boston Housing Dataset
"Tuesday, Dec 11th 2018",Interpreting Significance and P-value
"Tuesday, Dec 11th 2018",Regression Diagnostics in Statsmodels
"Tuesday, Dec 11th 2018",Ordinary Least Squares in Statsmodels (OLS) - Lab
"Tuesday, Dec 11th 2018",Ordinary Least Squares in Statsmodels (OLS)
"Tuesday, Dec 11th 2018",Assumptions for Linear Regression
"Thursday, Dec 6th 2018",Regression - Lab
"Thursday, Dec 6th 2018",Coefficient of Determination - Lab
"Wednesday, Dec 5th 2018",Coefficient of Determination
"Wednesday, Dec 5th 2018",Simple Linear Regression - Lab
"Wednesday, Dec 5th 2018",Simple Linear Regression
"Wednesday, Dec 5th 2018",Statistical Learning Theory
"Wednesday, Dec 5th 2018",Correlation and Covariance - Lab
"Tuesday, Dec 4th 2018",Correlation and Covariance
"Tuesday, Dec 4th 2018",Introduction
"Tuesday, Dec 4th 2018",Section Recap
"Tuesday, Dec 4th 2018",One-Sample z-test - Lab
"Monday, Dec 3rd 2018",One-Sample z-test
"Monday, Dec 3rd 2018",Statistical Testing with z-score and p-value
"Monday, Dec 3rd 2018",Skewness and Kurtosis - Lab
"Monday, Dec 3rd 2018",Skewness and Kurtosis
"Monday, Dec 3rd 2018",The Standard Normal Distribution - Lab
"Sunday, Dec 2nd 2018",The Standard Normal Distribution
"Sunday, Dec 2nd 2018",The Normal Distribution - Lab
"Sunday, Dec 2nd 2018",The Normal Distribution
"Sunday, Dec 2nd 2018",The Probability Density Function
"Sunday, Dec 2nd 2018",The Cumulative Distribution Function - Lab
"Sunday, Dec 2nd 2018",The Cumulative Distribution Function
"Sunday, Dec 2nd 2018",The Probability Mass Function - Lab
"Sunday, Dec 2nd 2018",The Probability Mass Function
"Saturday, Dec 1st 2018",Statistical Distributions and Their Use Cases
"Saturday, Dec 1st 2018",Introduction
"Saturday, Dec 1st 2018",Section Recap
"Saturday, Dec 1st 2018",The Bernoulli and Binomial Distributions - Lab
"Saturday, Dec 1st 2018",The Bernoulli and Binomial Distributions
"Saturday, Dec 1st 2018",Combinations - Lab
"Saturday, Dec 1st 2018",Combinations
"Saturday, Dec 1st 2018",Permutations and Factorials - Lab
"Saturday, Dec 1st 2018",Permutations and Factorials
"Saturday, Dec 1st 2018",Introduction to Probability - Lab
"Friday, Nov 30th 2018",Introduction to Probability
"Friday, Nov 30th 2018",Introduction to Sets - Lab
"Friday, Nov 30th 2018",Introduction to Sets
"Friday, Nov 30th 2018",What is Probability?
"Friday, Nov 30th 2018",Getting Started with Numpy - Lab
"Friday, Nov 30th 2018",Getting Started with Numpy
"Friday, Nov 30th 2018",Introduction to Numpy
"Thursday, Nov 29th 2018",Introduction
"Thursday, Nov 29th 2018",Building an Object-Oriented Simulation - Lab
"Thursday, Nov 29th 2018",Building an Object-Oriented Simulation
"Thursday, Nov 29th 2018",Inheritance - Lab
"Thursday, Nov 29th 2018",Inheritance
"Thursday, Nov 29th 2018",Object Oriented Shopping Cart - Lab
"Tuesday, Nov 27th 2018",Object Oriented Attributes with Functions - Lab
"Tuesday, Nov 27th 2018",Object Oriented Attributes with Functions
"Tuesday, Nov 27th 2018",Object Initialization - Lab
