dates,lesson
"Thursday, May 16th",Market Segmentation with Clustering
"Thursday, May 16th",Hierarchical Agglomerative Clustering - Lab
"Wednesday, May 15th",Common Problems with Clustering Algorithms
"Wednesday, May 15th",Hierarchical Agglomerative Clustering
"Wednesday, May 15th",K-Means Clustering - Lab
"Wednesday, May 15th",K Means Clustering
"Sunday, May 12th",[DEPRECATED - DO NOT DEPLOY] Facial recognition with PCA and Eigenfaces - Lab
"Sunday, May 12th",Introduction
"Sunday, May 12th",Section Recap
"Thursday, May 9th",Image Recognition with PCA - Lab
"Thursday, May 9th",PCA for Facial Image Recognition
"Thursday, Apr 18th",Performing Principal Component Analysis - Lab
"Thursday, Apr 18th",Performing Principal Component Analysis
"Tuesday, Apr 16th",PCA Background: Covariance Matrix and Eigendecomposition
"Sunday, Apr 14th",Principal Component Analysis in scikit-learn - Lab
"Sunday, Apr 14th",[DEPRECATED - DO NOT DEPLOY] Understanding Principal Component Analysis 
"Sunday, Apr 14th",Principal Component Analysis in scikit-learn
"Sunday, Apr 14th",Curse of Dimensionality - Lab
"Sunday, Apr 14th",Curse of Dimensionality 
"Sunday, Apr 14th",Unsupervised Learning
"Thursday, Apr 11th",Introduction
"Thursday, Apr 11th",The Kernel Trick
"Thursday, Apr 11th",Building an SVM Using Scikit-learn - Lab
"Thursday, Apr 11th",Building an SVM from Scratch - Lab
"Thursday, Apr 11th",Introduction to Support Vector Machines 
"Thursday, Apr 11th",Introduction
"Monday, Apr 8th",Section Recap
"Sunday, Apr 7th",XGBoost - Lab
"Wednesday, Apr 3rd",XGBoost
"Wednesday, Apr 3rd",Gradient Boosting - Lab
"Wednesday, Apr 3rd",Gradient Boosting and Weak Learners
"Wednesday, Apr 3rd",GridSearchCV - Lab
"Wednesday, Apr 3rd",GridSearchCV
"Wednesday, Apr 3rd",Tree Ensembles and Random Forests - Lab
"Tuesday, Apr 2nd",Random Forests
"Tuesday, Apr 2nd",Ensemble Methods
"Monday, Apr 1st",Introduction
"Monday, Apr 1st",Section Recap
"Monday, Apr 1st",Regression Trees and Model Optimization - Lab
"Monday, Apr 1st",Regression with CART Trees - Lab
"Monday, Apr 1st",Regression with CART Trees
"Monday, Apr 1st",Hyperparameter Tuning and Pruning in Decision Trees - Lab
"Wednesday, Mar 27th",Hyperparameter Tuning and Pruning in Decision Trees
"Tuesday, Mar 26th",Building Trees using scikit-learn - Lab
"Monday, Mar 25th",Building Trees using scikit-learn
"Monday, Mar 25th",ID3 Classification Trees: Perfect Split with Information Gain - Lab
"Monday, Mar 25th",Entropy and Information Gain 
"Monday, Mar 25th",Introduction to Decision Trees
"Sunday, Mar 24th",Introduction to PAC Learning Theory
"Sunday, Mar 24th",Introduction
"Sunday, Mar 24th",Section Recap
"Sunday, Mar 24th",Logistic Regression Model Comparisons - Lab
"Sunday, Mar 24th",Coding Logistic Regression from Scratch - Lab
"Sunday, Mar 24th",Gradient Descent - Lab
"Thursday, Mar 21st",Gradient Descent Review
"Thursday, Mar 21st",MLE and Logistic Regression
"Thursday, Mar 21st",MLE Review
"Thursday, Mar 21st",Introduction
"Thursday, Mar 21st",Section Recap
"Wednesday, Mar 20th",Class Imbalance Problems - Lab
"Wednesday, Mar 20th",Class Imbalance Problems
"Tuesday, Mar 19th",ROC Curves and AUC - Lab
"Tuesday, Mar 19th",ROC Curves and AUC 
"Tuesday, Mar 19th",Visualizing Confusion Matrices - Lab
"Tuesday, Mar 19th",Evaluating Logistic Regression Models - Lab
"Tuesday, Mar 19th",Logistic Regression in SciKit Learn - Lab
"Tuesday, Mar 19th",Logistic Regression in SciKit Learn
"Tuesday, Mar 19th",Fitting a Logistic Regression Model - Lab
"Monday, Mar 18th",Linear to Logistic Regression
"Sunday, Mar 17th",Introduction
"Sunday, Mar 17th",Section Recap
"Sunday, Mar 17th",Recommendation Systems - Lab
"Sunday, Mar 17th",Recommendation Systems
"Sunday, Mar 17th",Community Detection - Lab
"Sunday, Mar 17th",Clustering Networks - Lab
"Sunday, Mar 17th",Clustering Networks
"Sunday, Mar 17th",Node Centrality - Lab
"Sunday, Mar 17th",Node Centrality
