dates,lesson
"Saturday, Dec 1st 2018",Code Challenges
"Saturday, Dec 1st 2018",Technical Interviewing
"Saturday, Dec 1st 2018",Talking About Apps You've Built
"Saturday, Dec 1st 2018",Answering Non-Technical Interview Questions
"Saturday, Dec 1st 2018",Preparation for the Interview
"Saturday, Dec 1st 2018",Phone And Video Interviews
"Saturday, Dec 1st 2018",Research Before an Interview
"Saturday, Dec 1st 2018",Communicating with Recruiters and HR Professionals
"Saturday, Dec 1st 2018",Interview Prep Overview
"Monday, Nov 26th 2018",Welcome to Bootcamp Prep
"Thursday, Nov 22nd 2018",Introduction To Data Science
