dates,lesson
"Sunday, Dec 22nd",Measures of Central Tendency - Quiz
"Sunday, Dec 22nd",Measures of Central Tendency
"Monday, Dec 16th",Introduction
"Monday, Dec 16th",Selecting Data
"Monday, Dec 16th",Introduction
"Monday, Nov 25th",Mathematical Notation
"Monday, Nov 25th",Functions with Arguments - Lab
"Monday, Nov 25th",Creating Functions - Lab
"Monday, Nov 25th",Creating Functions
"Monday, Nov 25th",Using Nested Loops - Lab
"Monday, Nov 25th",Using Nested Loops
"Monday, Nov 25th","While Loops, Break and Continue - Lab"
"Monday, Nov 25th",While Loops Break and Continue
"Monday, Nov 25th","Built-in Python Operators, Functions and Methods - Lab"
"Monday, Nov 25th","Python Operators, Functions And Methods"
"Monday, Nov 25th",Introduction
"Monday, Nov 25th",Section Recap
"Monday, Nov 25th","Code Best Practices: Commenting, Standardizing Layout, PEP 8"
"Monday, Nov 25th",Git Resources
"Monday, Nov 25th",Git Stash - Lab
"Monday, Nov 25th",Git Merge - Lab
"Monday, Nov 25th",Collaborating with Git Branches
"Sunday, Nov 24th",Practicing Git
"Friday, Nov 22nd",Quiz: Git Basics
"Friday, Nov 22nd",Getting Started with Git
"Friday, Nov 22nd",Git Version Control 101
"Friday, Nov 22nd",The Bash Shell
"Friday, Nov 22nd",Introduction
"Thursday, Nov 21st",Section Recap
"Thursday, Nov 21st",Data Visualization - Lab
"Thursday, Nov 21st",Data Visualization
"Thursday, Nov 21st",Looping Over Collections - Lab
"Thursday, Nov 21st",Looping Over Collections
"Thursday, Nov 21st",Working with Dictionaries - Lab
"Wednesday, Nov 20th",Working with Dictionaries
"Wednesday, Nov 20th",Working with Lists - Lab
"Wednesday, Nov 20th",Working with Lists
"Wednesday, Nov 20th",Control Flow: Conditionals - Lab
"Wednesday, Nov 20th",Control Flow: Conditionals
"Wednesday, Nov 20th",Introduction to Variables: Variable Assignment - Lab
"Wednesday, Nov 20th",Introduction to Variables: Strings and Numeric Types - Lab
"Tuesday, Nov 19th",Introduction to Variables: Numeric Types and Booleans
